,,,,,
contrario,"contrary, opposite",adjective,,,
servicio,service,noun,m,,
realmente,"really, actually, in fact",adverb,,,
conocimiento,knowledge,noun,m,,
consucuencia,"consequence, result, aftermath",noun,f,,
presentar,"to present, to submit",verb,,,
marcha,"march, protest",noun,f,,
privada,private,adjective,,,
incluir,to include,verb,,,
viaje,"voyage, trip",noun,m,,
artículo,article,noun,m,,
mejorar,to improve,verb,,,
considerar,to consider,verb,,,
cuarto,bedroom,noun,m,,
tanto,"so much, so long",adverb,,,
noticias,the news,noun,f,,
quedar,to meet,verb,,,
enfermedad,"illness, disease",noun,f,,
ambiente,"atmosphere, environment",noun,f,,
grave,"serious, grave",adjective,,,
accion,action,noun,f,,
existencia,existence,noun,f,,
crecemiento,"growth, development",noun,m,,
afirmar,to affirm,verb,,,
siempre,always,adverb,,,
anterior,"previous, prior",adjective,,,
acto,"function, ceremony",noun,m,,
recordar,"to remember, to recall",verb,,,
utilizar,"to use, to utilize",verb,,,
cargo,"post, position",noun,m,,
como,"as, like",conjunction,,,
presupuesto,"budget, estimate",noun,m,,
tratamiento,treatment,noun,m,,
pretender,"to hope, to expect, to aim for",verb,,,
parte,"part, fraction",noun,f,,
simple,"simple, easy",adjective,,,
lucha,"dispute, discussion, struggle",noun,f,,
caer,"to fall, to fall down",verb,,,
encuentro,"encounter, meeting",noun,m,,
ayuda,"help, assistance",noun,f,,
menor,"younger, youngest",adjective,,,
mayor,"older, oldest",adjective,,,
peor,worse,adjective,,,
objetivo,"aim, goal, objective",m,,,
siguientes,"following, next",adjective,,,
parecer,"to seem, to look like",verb,,,
suficiente,"enough, sufficient",adjective,,,
ofrecer,to offer,verb,,,
tratar,to try to,verb,,,
empezar,"to start, to begin",verb,,,
durante,"during, for as long as",preposition,,,
clase,class,noun,f,,
paciente,patient,adjective,,,
cantidad,"amount, sum",noun,f,,
particular,"private, personal",adjective,,,
naturaleza,nature,noun,f,,
explicar,to explain,verb,,,
función,performance,noun,f,,
comenzar,"to begin, to start",verb,,,
cumplir,"to follow, to obey",verb,,,
respuesta,"answer, reply, response",noun,f,,
limpiar,to clean,verb,,,
jugar,to play,verb,,,
notar,"to notice, to realize, to observe",verb,,,
porque,because,conjunction,,,
aunque,even though,conjunction,,,
como,since,conjunction,,,
donde,where,conjunction,,,
cuando,when,conjunction,,,
mientras,"as, while",conjunction,,,
soler,to usually do,verb,,,
apoyo,support,noun,m,,
ganar,to win,verb,,,
alcanzar,to reach,verb,,,
importancia,"importance, significance",noun,f,,
derecho,right,noun,m,,
capaz,"capable, able",adjective,,,
establecer,"to establish, to lay down",verb,,,
cambiar,to change,verb,,,
contar,"to tell, to narrate",verb,,,
perder,to waste,verb,,,
llamada,phone call,noun,f,,
entender,to understand,verb,,,
lograr,"to achieve, to attain",verb,,,
crear,"to create, to make",verb,,,
obtener,"to obtain, to get",verb,,,
buscar,to pick up,verb,,,
seguir,"to carry on, to continue",verb,,,
imagen,"picture, shot",noun,f,,
aparecer,"to appear, to come out",verb,,,
entrar,to enter,verb,,,
relacion,"connection, contact",noun,f,,
salir,to leave,verb,,,
evitar,to avoid,verb,,,
encontrar,to find,verb,,,
pasar,"to move on to, to pass",verb,,,
volver,"to come back, to go back, to return",verb,,,
realizar,"to perform, to carry out",verb,,,
dejar,"to let, to allow",verb,,,
poner,"to put, to place",verb,,,
pesar,to weigh,verb,,,
esperar,"to hope, to expect",verb,,,
conocer,to meet,verb,,,
mantener,to keep,verb,,,
partir,"to leave, to depart",verb,,,
dar,to give,verb,,,
decir,"to say, to tell",verb,,,
temer,"to fear, to dread",verb,,,
propuesta,"proposal, suggestion, offer",noun,f,,
recurso,resource,noun,m,,
deber,must,verb,,,
presente,present,noun,m,,
a,"to, at",preposition,,,
ante,in the presence of,preposition,,,
bajo ,under,preposition,,,
con,with,preposition,,,
contra,against,preposition,,,
de,"of, from",preposition,,,
desde,"from, since",preposition,,,
en,"in, on, at",preposition,,,
entre,"between, among",preposition,,,
hacia,"until, toward",preposition,,,
hasta,"until, toward",preposition,,,
por,"for, by",preposition,,,
detrás de,behind,preposition,,,
según,according to,preposition,,,
sin,without,preposition,,,
sobre,"about, on, upon",preposition,,,
tras,"after, behind",preposition,,,
para,"for, in order to",preposition,,,
oir,to hear,verb,,,
oler,to smell,verb,,,
probar,to taste,verb,,,
tocar,to touch,verb,,,
ver,to see,verb,,,
avión,airplane,noun,m,,
bicicleta,bicycle,noun,f,,
barco,boat,noun,m,,
coche,car,noun,m,,
tren,train,noun,m,,
motocicleta,motorcycle,noun,f,,
nave,spaceship,noun,f,,
viajar,to travel,verb,,,
primavera,spring,noun,f,,
verano,summer,noun,m,,
otoño,fall,noun,m,,
invierno,winter,noun,m,,
abogado,lawyer,noun,m,abogada,f
visitar,to visit,verb,,,
hacer,"to do, to make",verb,,,
abrir,to open,verb,,,
cubrir,to cover,verb,,,
decidir,to decide,verb,,,
describir,to describe,verb,,,
descubrir,to discover,verb,,,
escribir,to write,verb,,,
recibir,to receive,verb,,,
subir,to climb,verb,,,
sufrir,to suffer,verb,,,
vivir,to live,verb,,,
al lado de,"next door to, next to",adverb,,,
demasiado,too much,adverb,,,
abrigo,coat,noun,m,,
blusa,blouse,noun,f,,
usar,to use,verb,,,
después de,after,adverb,,,
antes de,before,adverb,,,
nunca,never,adverb,,,
encima,on top,preposition,,,
debajo,under,preposition,,,
solamente,only,adverb,,,
pero,but,conjunction,,,
a veces,sometimes,adverb,,,
bota,boot,noun,f,,
calcentines,socks,noun,m,,
camisa,shirt,noun,f,,
casa,house,noun,f,,
cebolla,onion,noun,f,,
cena,"supper, dinner",noun,f,,
chica,girl,noun,f,,
chico,boy,noun,m,,
cinturón,belt,noun,m,,
cocina,kitchen,noun,f,,
llevar,"to wear, to take to",verb,,,
conductor,driver,noun,m,conductora,f
corbata,tie,noun,f,,
cuaderno,notebook,noun,m,,
cuenta,check (at a restaurant),noun,f,,
trabajar,to work,verb,,,
tomar,"to take, to drink / sip",verb,,,
tocar,"to play (an instrument), to touch",verb,,,
pagar,to pay,verb,,,
mirar,"to watch, to look at",verb,,,
estudiar,to study,verb,,,
escuchar,to listen to,verb,,,
comprar,to buy,verb,,,
cantar,to sing,verb,,,
bailar,to dance,verb,,,
desayuno,breakfast,noun,m,,
grande,big,adjective,,,
valiente,brave,adjective,,,
amable,"nice, kind",adjective,,,
fuerte,strong,adjective,,,
joven,young,adjective,,,
enojado,angry,adjective,,,
malo,bad,adjective,,,
gordo,fat,adjective,,,
amistoso,friendly,adjective,,,
cómico,funny,adjective,,,
bueno,good,adjective,,,
pequeño,"little, small",adjective,,,
largo,long,adjective,,,
bonito,pretty,adjective,,,
rico,rich,adjective,,,
bajo,short (height),adjective,,,
corto,short (length),adjective,,,
alto,tall,adjective,,,
feo,ugly,adjective,,,
delgado,thin,adjective,,,
maravilloso,wonderful,adjective,,,
fuerte,strong,adjective,,,
doctor,doctor,noun,m,doctora,f
necessario,necessary,adjective,,,
viejo,old,adjective,m,vieja,f
inteligente,intelligent,adjective,,,
emparedado,sandwich,noun,m,,
empresario,businessman,noun,m,empresaria,f
escuela,school,noun,f,,
espejo,mirror,noun,m,,
esponja,sponge,noun,f,,
estudiante,student,noun,m,,
falda,skirt,noun,f,,
gorra,cap,noun,f,,
hombre,man,noun,m,,
iglesia,church,noun,f,,
jefe,boss,noun,m,jefa,f
jubilado,retiree,noun,m,jubilada,f
juez,judge,noun,m,jueza,f
lapiz,pencil,noun,m,,
tener,to have,verb,,,
libro,book,noun,m,,
oír,to hear,verb,,,
limón,lemon,noun,m,,
ir,to go,verb,,,
lluvia,rain,noun,f,,
correr,to run,verb,,,
caminar,to walk,verb,,,
amarilla,yellow,adjective,,,
azule,blue,adjective,,,
maestro,teacher,noun,m,maestra,f
manzana,apple,noun,f,,
mejor,best,noun,m,mejora,f
mesa,table,noun,f,,
gris,gray,adjective,,,
miércoles,Wednesday,noun,m,,
rojo,red,adjective,,,
naranja,orange,noun,f,,
noche,night,noun,f,,
comer,to eat,verb,,,
beber,to drink,verb,,,
oficina,office,noun,f,,
oso,bear,noun,m,,
quiero,to want,verb,,,
pantalones,pants,noun,m,,
papa,potato,noun,f,,
pijamas,pajamas,noun,m,,
pintor,painter,noun,m,pintora,f
piscina,swimming pool,noun,f,,
piso,floor,noun,m,,
pluma,pen,noun,f,,
ropa,clothes,noun,f,,
sal,salt,noun,m,,
salada,salad,noun,f,,
secadora,dryer,noun,f,,
ser,to be,verb,,,
soldado,soldier,noun,f,,
sombrero,hat,noun,m,,
suéter,sweater,noun,m,,
tarde,afternoon,noun,f,,
tarea,homework,noun,f,,
taza,cup,noun,f,,
tortuga,turtle,noun,f,,
hablar,to talk,verb,,,
hacer,to do,verb,,,
traje,suit,noun,m,,
ultimo,last,noun,m,ultima,f
ir,to go,verb,,,
universidad,university,noun,f,,
uva,grape,noun,f,,
ventana,window,noun,f,,
vestido,dress,noun,m,,
zapato,shoe,noun,m,,
rubio,blonde,adjective,,,
moreno,brown,adjective,,,
guapo,"attractive, good-looking",adjective,,,
casado,married,adjective,,,
